gene,name_disease,category_cleaned,scr_sum,rusp,scr_babydetectv2,scr_babyscreen,scr_babyseq2,scr_beginngs,scr_chenetal,scr_earlycheck,scr_firststeps,scr_generation,scr_gnstar,scr_guardian,scr_jianetal,scr_leeetal,scr_luoetal,scr_neoexome,scr_neoseq,scr_nests,scr_newbornsinsa,scr_puglia,scr_wangetal,scr_foresite,scr_fulgent,scr_igenomix,scr_mendelics,scr_nurture,scr_perkinelmer,scr_sema,inheritance_babyseq2,penetrance_babyseq2,age_onset_asqm_standard,severity_asqm,likelihood_asqm,efficacy_asqm,acceptability_asqm,knowledge_asqm,yespct_goldetal,prevalence_100k_goldetaldet,orthogonal_test_goldetaldet
PCCB,"Propionicacidaemia, MIM#606054",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,1,3,3,,,missing
SLC22A5,"Carnitine deficiency, systemic primary, MIM# 212140, MONDO:0008919",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,1,3,3,2,,,missing
GAA,"Glycogen storage disease II, Pompe disease, MIM# 232300",Metabolism,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,AR,HIGH (A),Infant,3,3,3,2,3,,,missing
ACAT1,Mitochondrial acetoacetyl- CoA thiolase deficiency,Metabolism,25,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,2,1,.415,Y
CPT1A,"Carnitine palmitoyltransferase I deficiency, MIM#255120",Metabolism,25,Secondary,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,2,2,3,2,,,missing
G6PC1,Glycogen storage disease Ia,Metabolism,25,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,2,3,1,.04,Y
MMACHC,"Methylmalonic aciduria and homocystinuria, cblC type, MIM#277400",Metabolism,25,Secondary,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,3,3,,,missing
ARG1,"Arginase deficiency, MIM#207800",Metabolism,25,Secondary,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,2,2,2,,,missing
MMAB,"Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type, MIM#251110",Metabolism,25,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,3,3,,,missing
ASS1,"Citrullinaemia, MIM#215700",Metabolism,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,2,2,2,,,missing
MMAA,"Methylmalonic aciduria, vitamin B12-responsive, MIM#251100",Metabolism,25,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,2,3,3,3,,,missing
IDUA,"Mucopolysaccharidosis type 1, MONDO:0001586",Metabolism,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,2,1,2,,,missing
FAH,"Tyrosinaemia, type I, MIM#276700",Metabolism,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,AR,HIGH (A),Infant,2,3,3,2,3,,,missing
OTC,Ornithine transcarbamyla se deficiency,Metabolism,25,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,XLR,HIGH (A),Neonatal,3,3,3,2,3,1,1.455,Y
GALT,"Galactosaemia, MIM#230400",Metabolism,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,2,3,,,missing
CPT2,"CPT II deficiency, infantile 600649;CPT II deficiency, lethal neonatal 608836;CPT II deficiency, myopathic, stress-induced 255110",Metabolism,25,Secondary,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Childhood,2,3,3,3,2,,,missing
HBB,"Sickle cell anaemia, MIM# 603903",Hematology,24,Core,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,AR,HIGH (A),Neonatal,2,2,3,3,3,,,missing
BCKDHA,"Maple syrup urine disease, type Ia, MIM# 248600",Metabolism,24,Core,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,2,2,3,,,missing
ETFDH,"Glutaric acidemia IIC, MIM#231680",Metabolism,24,Secondary,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,2,2,3,3,,,missing
SLC37A4,Glycogen storage disease Ib,Metabolism,24,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,AR,HIGH (A),Infant,2,3,3,2,3,1,.04,Y
GALK1,"Galactokinase deficiency with cataracts, MIM#230200",Metabolism,24,Secondary,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,3,3,3,,,missing
BCKDHB,"Maple syrup urine disease, type Ib, MIM# 248600",Metabolism,24,Core,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,2,2,3,,,missing
SLC25A20,"Carnitine-acylcarnitine translocase deficiency, MIM#212138",Metabolism,24,Secondary,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,3,2,,,missing
IDS,Mucopolysacch aridosis II,Metabolism,24,Core,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,XLR,HIGH (A),Variable,2,3,2,2,2,1,.795,Y
IL2RG,"Severe combined immunodeficiency, X-linked, MIM#312863",Immunology,24,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,XLR,HIGH (A),Neonatal,3,3,3,3,3,,,missing
CBS,Homocystinuria (MIM# 236200),Metabolism,24,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,AR,HIGH (A),Childhood,2,3,3,2,3,,,missing
CPS1,Carbamoyl phosphate synthetase I deficiency,Metabolism,24,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,2,3,1,.08,Y
CYBB,X-linked chronic granulomatous disease,Immunology,24,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,XLR,HIGH (A),Infant,2,3,3,2,2,1,.675,Y
SLC25A13,"Citrullinemia, type II, neonatal-onset, MIM# 605814",Metabolism,24,Secondary,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,1,2,2,3,2,,,missing
CFTR,"Cystic fibrosis, MIM#219700",Pulmonology,24,Core,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,2,3,,,missing
SLC25A15,Hyperornithine mia- hyperammonem ia- homocitrullinuri a syndrome,Metabolism,24,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Variable,1,3,2,2,2,1,.07,Y
DBT,"Maple syrup urine disease, MIM#248600",Metabolism,24,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,AR,HIGH (A),Neonatal,2,3,2,2,3,,,missing
TSHR,"Hypothyroidism, congenital, nongoitrous, 1 - MIM#275200",Endocrinology,23,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,AR,HIGH (A),Infant,2,2,2,3,3,,,missing
HADH,"3-hydroxyacyl-CoA dehydrogenase deficiency, MIM# 231530",Metabolism,23,Secondary,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,AR,HIGH (A),Infant,2,3,3,3,2,,,missing
MTR,"Homocystinuria-megaloblastic anaemia, cblG complementation type, MIM# 250940",Metabolism,23,Secondary,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,3,2,,,missing
MTRR,"Methylmalonic aciduria and homocystinuria, MIM#236270",Metabolism,23,Secondary,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,3,2,,,missing
TAT,"Tyrosinemia, type II, MIM#276600",Metabolism,23,Secondary,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,AR,HIGH (A),Infant,1,3,3,2,2,,,missing
MMADHC,"Methylmalonic aciduria and homocystinuria, cblD type, MIM#277410",Metabolism,22,Secondary,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,AR,HIGH (A),Infant,2,3,2,2,1,,,missing
GCH1,"Hyperphenylalaninemia, BH4-deficient, B, MIM# 233910;Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, MIM# 128230",Metabolism,22,Secondary,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,AD,MODERATE (A),Childhood,1,3,3,3,3,,,missing
MCCC2,3-Methylcrotonyl-CoA carboxylase 2 deficiency,Metabolism,22,Core,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,AR,MODERATE (A),Infant,2,1,0,0,1,,,missing
ALDOB,Hereditary fructose intolerance,Metabolism,22,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,3,1,4.395,Y
BTK,X-linked agammaglobulinemia,Immunology,22,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,XLR,HIGH (A),missing,0,0,0,0,0,1,.75,Y
MCCC1,3-Methylcrotonyl-CoA carboxylase 1 deficiency,Metabolism,22,Core,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,AR,MODERATE (A),Variable,0,3,1,3,1,,,missing
GALNS,Mucopolysacch aridosis IVA,Metabolism,22,,1,1,1,,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,1,2,2,1,.335,Y
AGL,Glycogen storage disease III,Metabolism,22,,1,1,1,1,1,,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,2,3,3,1,1,Y
ALPL,Hypophosphatasia,Endocrinology,22,,1,1,1,1,1,1,1,1,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Birth,2,3,2,2,2,1,1,Y
RAG1,"Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity MIM# 609889;Combined cellular and humoral immune defects with granulomas MIM# 233650;Omenn syndrome MIM# 603554;Severe combined immunodeficiency, B cell-negative MIM# 601457",Immunology,22,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,,1,1,AR,HIGH (A),Infant,3,3,3,2,3,,,missing
G6PD,Hemolytic anemia due to G6PD deficiency,Hematology,22,,1,1,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,XLR,HIGH (A),Variable,1,2,3,3,3,1,,Y
NAGS,"N-
acetylglutamate synthase deficiency",Metabolism,21,,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,3,2,3,1,.05,Y
ETFB,"Glutaric acidemia IIB, MIM#231680",Metabolism,21,Secondary,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,AR,HIGH (A),Neonatal,2,2,2,3,3,,,missing
LMBRD1,"Methylmalonic aciduria and homocystinuria, MIM#277380",Metabolism,21,Secondary,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,2,3,2,,,missing
ARSB,Mucopolysacch aridosis type VI,Metabolism,21,,1,1,1,,1,1,1,1,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Variable,2,3,2,2,2,1,.285,Y
ETFA,"Glutaric acidaemia IIA, MIM#231680",Metabolism,21,Secondary,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,AR,HIGH (A),Neonatal,2,2,2,3,3,,,missing
RAG2,"RAG2 associated T cell-negative, B cell-negative, severe combined immunod",Immunology,21,Core,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,,1,1,1,AR,HIGH (A),Infant,3,3,3,2,2,1,1.72,Y
ADA,"Severe combined immunodeficiency due to ADA deficiency, MIM# 102700, MONDO:0007064",Immunology,21,Core,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,,1,1,1,AR,HIGH (A),Infant,3,3,3,2,3,,,missing
SMN1,"Spinal muscular atrophy type 1, MIM#253300",Neurology,21,Core,,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,,1,AR,HIGH (A),Birth,3,3,1,3,3,,,missing
GALE,"Galactose epimerase deficiency	, MIM#230350",Metabolism,21,Secondary,1,1,,1,1,,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,Infant,1,0,2,2,1,,,missing
F9,Hemophilia B,Hematology,21,,1,1,1,1,,1,1,1,1,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,XLR,HIGH (A),Infant,2,3,3,3,3,1,1.335,Y
MLYCD,Malonyl-CoA decarboxylase deficiency,Metabolism,21,Secondary,1,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,AR,HIGH (A),Infant,2,2,2,3,2,1,unknown,Y
PCBD1,"Hyperphenylalaninemia, BH4-deficient, D, MIM#	264070",Metabolism,20,Secondary,1,1,,1,,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,,Infant,0,3,0,0,1,,,missing
PAX8,"Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia, MIM#	218700",Endocrinology,20,,1,1,1,,,1,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,AD,HIGH (A),Infant,2,2,3,3,2,,,missing
JAK3,"SCID, autosomal recessive, T-negative/B-positive type, MIM#600802",Immunology,20,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,,,1,1,AR,HIGH (A),Neonatal,3,3,3,3,3,,,missing
ABCD1,"Adrenoleukodystrophy, MIM# 300100",Metabolism,20,Core,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,1,XLR,HIGH (A),Childhood,2,2,2,1,2,,,missing
ATP7B,Wilson disease,Metabolism,20,,1,1,1,,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,AR,HIGH (A),Variable,2,2,2,3,3,1,3.33,Y
DUOX2,"Thyroid dyshormonogenesis 6, MIM# 607200",Endocrinology,20,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,,1,1,AR,HIGH (A),Neonatal,2,3,3,3,2,,,missing
CYP11B1,Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency,Endocrinology,20,,1,1,1,1,1,,1,1,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,2,2,3,2,1,.75,Y
GLA,Fabry disease,Metabolism,20,,,1,1,,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,XLR,HIGH (A),Variable,2,3,2,2,3,1,"2 (classic form);
11.8 (including atypical forms)",Y
WAS,WAS associated disorder,Immunology,19,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,,,1,1,,,XLR,HIGH (A),missing,0,0,0,0,0,1,.175,Y
HPD,"Tyrosinemia, type III",Metabolism,19,Secondary,1,,,1,1,,1,,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,,,Neonatal,1,0,1,2,0,,,missing
CTNS,Cystinosis,Nephrology,19,,1,1,1,,,1,1,1,,1,,1,1,1,,,1,1,,1,1,1,1,1,1,1,AR,HIGH (A),Childhood,2,3,3,3,3,1,.75,Y
IL7R,"Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type MIM#608971",Immunology,19,,1,1,,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,,,1,1,,,Infant,3,3,3,2,2,,,missing
TH,Dopa-responsive dystonia due  to tyrosine hydroxylase  deficiency,Neurology,19,,1,1,1,1,1,1,1,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,2,1,.725,Y
SPR,Dopa-responsive  dystonia  due  to  sepiapterin  reductase  deficiency,Neurology,19,,1,1,1,,,1,1,,1,1,,,1,1,1,,1,1,,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,3,3,2,1,.725,Y
ALDH7A1,Pyridoxine-dependent epilepsy,Neurology,19,,1,1,,1,1,1,1,1,,1,,,1,1,,,1,1,1,1,1,1,1,,1,1,,,Birth,1,3,2,3,3,1,2.565,Y
RB1,Hereditary Retinoblastoma,Oncology,19,,1,1,1,,1,1,,1,1,,,,,1,1,1,1,1,1,1,1,,1,1,1,1,AD,HIGH (A),Neonatal,2,3,3,2,3,1,,Y
ABCC8,Familial hyperinsulinemic hypoglycemia-1; ABCC8 associated permanent neonatal diabetes mellitus,Endocrinology,19,,,1,1,1,1,1,1,1,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,3,2,3,1,"2.4 ( (per 100,000)
See GLUD1 per RXGenes",Y
SMPD1,"Niemann-Pick disease, type A and type B",Metabolism,19,,1,1,1,,1,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,AR,HIGH (A),Infant,3,3,0,0,3,1,.4,Y
DCLRE1C,"Omenn syndrome/Severe combined immunodeficiency, Athabascan type",Immunology,19,Core,1,1,1,1,,1,1,1,,1,1,,1,1,,,1,1,,1,1,1,,1,1,1,AR,HIGH (A),Neonatal,3,3,3,2,2,1,unk,Y
ATP7A,Menkes disease,Metabolism,18,,1,1,1,,1,,1,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,,XLR,HIGH (A),Birth,3,3,1,3,2,1,0.28-2.5,Y
CYBA,CYBA associated chronic granulomatous disease,Immunology,18,,1,1,1,1,,1,1,1,,,,,1,,,1,1,1,,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,2,2,1,.675,Y
GUSB,Mucopolysacch aridosis type VII,Metabolism,18,,1,1,1,1,1,,1,,,1,,,1,1,,,1,1,1,1,1,1,1,1,1,,AR,HIGH (A),Childhood,2,3,2,1,1,1,.13,Y
PYGL,Glycogen storage disease VI,Metabolism,18,,1,1,1,,1,,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,0,3,3,3,1,1,1.36,Y
PRF1,Familial hemophagocytic lymphohistiocytosis 2,Immunology,18,,1,1,1,1,1,,1,1,,,,,1,1,,1,1,1,1,1,1,,1,1,1,,AR,HIGH (A),Infant,2,3,3,2,2,1,2,Y
LIPA,Lysosomal acid lipase deficiency,Metabolism,18,,1,1,1,1,,1,1,,,1,,,1,1,,,1,1,,1,1,1,1,1,1,1,AR,HIGH (A),Variable,3,3,0,0,1,1,2,Y
ELANE,ELANE associated neutropenia 1,Hematology,18,,1,1,1,1,1,,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,,AD,HIGH (A),missing,0,0,0,0,0,1,,Y
SLC2A1,"GLUT1
deficiency syndrome 1",Metabolism,18,,1,1,1,1,1,,1,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,AD,HIGH (A),Infant,2,3,2,2,2,1,1.7,Y
GJB2,"Deafness, autosomal recessive 1A, MIM# 220290",Neurology,18,,,1,1,,,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,AD,HIGH (A),Adolescent/Adult,1,3,3,3,3,,,missing
AVPR2,X-linked nephrogenic diabetes insipidus,Endocrinology,18,,1,1,1,1,,,1,1,,1,,,,1,,1,1,1,,1,1,1,1,1,1,1,XLR,HIGH (A),Birth,2,2,2,3,2,1,.64,Y
ACAD8,Isobutyryl-CoA dehydrogenase deficiency,Metabolism,18,,1,,1,,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,AR,HIGH (A),missing,0,0,0,0,0,,,missing
NPC1,"Niemann-Pick disease, type C, NPC1",Metabolism,18,,,1,1,1,1,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,,1,1,,AR,HIGH (A),Childhood,2,3,1,3,3,1,.7,Y
PHEX,X-linked dominant hypophosphatemic rickets,Endocrinology,18,,1,1,,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,,,1,1,1,,,,,missing,0,0,0,0,0,1,5,Y
GALC,Krabbe disease,Metabolism,18,,,1,1,,1,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,AR,HIGH (A),Birth,3,3,0,0,3,1,.4,Y
MTHFR,Methylenetetrah ydrofolate reductase deficiency,Metabolism,18,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,,,1,1,1,,,AR,MODERATE (A),Variable,2,3,3,3,2,1,unk,Y
TSHB,"Hypothyroidism, congenital, nongoitrous 4, MIM#275100",Endocrinology,17,,,1,1,,,1,,1,1,,1,1,1,1,1,,1,,,1,1,1,1,,1,1,AR,HIGH (A),Infant,2,3,2,3,3,,,missing
KCNJ11,Familial hyperinsulinemic hypoglycemia-2; KCNJ11 associated permanent neonatal diabetes mellitus,Endocrinology,17,,,1,1,1,1,1,1,1,,,,,,1,,,1,1,1,1,1,,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,2,2,1,"2.4 ( (per 100,000)
See GLUD1 per RXGenes",Y
ARSA,Metachromatic leukodystrophy,Neurology,17,,1,1,1,,,,1,1,,,,1,1,1,,1,1,,,1,1,1,1,1,1,1,AR,HIGH (A),Variable,2,3,1,1,2,1,1.565,Y
