gene_official,scr_sum,rusp,scr_babydetectv2,scr_babyscreen,scr_babyseq2,scr_beginngs,scr_chenetal,scr_earlycheck,scr_firststeps,scr_generation,scr_gnstar,scr_guardian,scr_jianetal,scr_leeetal,scr_luoetal,scr_neoexome,scr_neoseq,scr_nests,scr_newbornsinsa,scr_puglia,scr_wangetal,scr_foresite,scr_fulgent,scr_igenomix,scr_nurture,scr_perkinelmer,scr_sema,inheritance,penetrance,age_onset_asqm_standard,severity,likelihood,efficacy,acceptability,knowledge,yespct,prevalence_100k,orthogonal_test
MTRR,22,Secondary,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,3,2,,,
BTK,22,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,XLR,HIGH (A),,,,,,,1,.75,Y
MCCC1,22,Core,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,AR,MODERATE (A),Variable,0,3,1,3,1,,,
RAG1,22,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,1,1,AR,HIGH (A),Infant,3,3,3,2,3,,,
MCCC2,22,Core,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,AR,MODERATE (A),Infant,2,1,0,0,1,,,
RAG2,21,Core,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,3,2,2,1,1.72,Y
GCH1,21,Secondary,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,AD,MODERATE (A),Childhood,1,3,3,3,3,,,
ALDOB,21,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,3,1,4.395,Y
AGL,21,,1,1,1,1,1,,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,2,3,3,1,1,Y
MMADHC,21,Secondary,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,AR,HIGH (A),Infant,2,3,2,2,1,,,
ALPL,21,,1,1,1,1,1,1,1,1,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Birth,2,3,2,2,2,1,1,Y
GALNS,21,,1,1,1,,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,1,2,2,1,.335,Y
ADA,21,Core,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,3,2,3,,,
MLYCD,21,Secondary,1,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,2,2,3,2,1,unknown,Y
LMBRD1,20,Secondary,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,2,3,2,,,
NAGS,20,,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,3,2,3,1,.05,Y
SMN1,20,Core,,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,,1,AR,HIGH (A),Birth,3,3,1,3,3,,,
GALE,20,Secondary,1,1,,1,1,,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,,Infant,1,0,2,2,1,,,
ARSB,20,,1,1,1,,1,1,1,1,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Variable,2,3,2,2,2,1,.285,Y
GLA,20,,,1,1,,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,XLR,HIGH (A),Variable,2,3,2,2,3,1,"2 (classic form);
11.8 (including atypical forms)",Y
DUOX2,20,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,1,AR,HIGH (A),Neonatal,2,3,3,3,2,,,
ETFA,20,Secondary,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,AR,HIGH (A),Neonatal,2,2,2,3,3,,,
F9,20,,1,1,1,1,,1,1,1,1,,,,1,1,1,1,1,1,,1,1,1,1,1,1,XLR,HIGH (A),Infant,2,3,3,3,3,1,1.335,Y
ETFB,20,Secondary,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,AR,HIGH (A),Neonatal,2,2,2,3,3,,,
JAK3,20,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,,1,1,AR,HIGH (A),Neonatal,3,3,3,3,3,,,
CYP11B1,19,,1,1,1,1,1,,1,1,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,2,2,3,2,1,.75,Y
HPD,19,Secondary,1,,,1,1,,1,,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,,Neonatal,1,0,1,2,0,,,
DCLRE1C,19,Core,1,1,1,1,,1,1,1,,1,1,,1,1,,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,3,2,2,1,unk,Y
PAX8,19,,1,1,1,,,1,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,AD,HIGH (A),Infant,2,2,3,3,2,,,
ATP7B,19,,1,1,1,,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,AR,HIGH (A),Variable,2,2,2,3,3,1,3.33,Y
SMPD1,19,,1,1,1,,1,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,0,0,3,1,.4,Y
IL7R,19,,1,1,,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,,1,1,,,Infant,3,3,3,2,2,,,
ABCD1,19,Core,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,,1,XLR,HIGH (A),Childhood,2,2,2,1,2,,,
PCBD1,19,Secondary,1,1,,1,,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,,Infant,0,3,0,0,1,,,
CTNS,18,,1,1,1,,,1,1,1,,1,,1,1,1,,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Childhood,2,3,3,3,3,1,.75,Y
RB1,18,,1,1,1,,1,1,,1,1,,,,,1,1,1,1,1,1,1,1,,1,1,1,AD,HIGH (A),Neonatal,2,3,3,2,3,1,,Y
ALDH7A1,18,,1,1,,1,1,1,1,1,,1,,,1,1,,,1,1,1,1,1,1,,1,1,,,Birth,1,3,2,3,3,1,2.565,Y
ACAD8,18,,1,,1,,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,AR,HIGH (A),,,,,,,,,
ABCC8,18,,,1,1,1,1,1,1,1,,,,,1,1,,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,3,2,3,1,"2.4 ( (per 100,000)
See GLUD1 per RXGenes",Y
WAS,18,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,,,1,,,XLR,HIGH (A),,,,,,,1,.175,Y
GALC,18,,,1,1,,1,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,AR,HIGH (A),Birth,3,3,0,0,3,1,.4,Y
NPC1,18,,,1,1,1,1,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,AR,HIGH (A),Childhood,2,3,1,3,3,1,.7,Y
SPR,18,,1,1,1,,,1,1,,1,1,,,1,1,1,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,3,3,2,1,.725,Y
PYGL,17,,1,1,1,,1,,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,0,3,3,3,1,1,1.36,Y
CYBA,17,,1,1,1,1,,1,1,1,,,,,1,,,1,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,2,2,1,.675,Y
SLC2A1,17,,1,1,1,1,1,,1,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,AD,HIGH (A),Infant,2,3,2,2,2,1,1.7,Y
PRF1,17,,1,1,1,1,1,,1,1,,,,,1,1,,1,1,1,1,1,1,,1,1,,AR,HIGH (A),Infant,2,3,3,2,2,1,2,Y
ATP7A,17,,1,1,1,,1,,1,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,,XLR,HIGH (A),Birth,3,3,1,3,2,1,0.28-2.5,Y
LIPA,17,,1,1,1,1,,1,1,,,1,,,1,1,,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Variable,3,3,0,0,1,1,2,Y
AVPR2,17,,1,1,1,1,,,1,1,,1,,,,1,,1,1,1,,1,1,1,1,1,1,XLR,HIGH (A),Birth,2,2,2,3,2,1,.64,Y
TH,17,,1,1,1,1,1,1,1,1,,,,,,1,,,1,1,1,,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,2,1,.725,Y
TG,17,,1,1,1,,,1,,1,1,1,1,,1,1,1,,1,,,1,1,1,,1,1,AR,HIGH (A),Infant,2,3,3,3,3,,,
ELANE,17,,1,1,1,1,1,,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,,AD,HIGH (A),,,,,,,1,,Y
TPO,17,,1,1,1,,,1,,1,1,1,1,,1,1,1,,1,,,1,1,1,,1,1,AR,HIGH (A),Infant,2,3,3,3,3,,,
GJB2,17,,,1,1,,,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,AR,HIGH (A),Birth,1,3,3,3,3,,,
GUSB,17,,1,1,1,1,1,,1,,,1,,,1,1,,,1,1,1,1,1,1,1,1,,AR,HIGH (A),Childhood,2,3,2,1,1,1,.13,Y
PHEX,17,,1,1,,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,,,1,1,,,,,,,,,,,1,5,Y
MTHFR,17,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,,,1,1,,,AR,MODERATE (A),Variable,2,3,3,3,2,1,unk,Y
SLC26A4,16,,1,1,1,,,1,,,1,1,1,,1,1,1,1,1,,1,1,1,,,1,,AR,HIGH (A),Birth,1,3,3,3,3,,,
KCNJ11,16,,,1,1,1,1,1,1,1,,,,,,1,,,1,1,1,1,1,,1,1,1,AR,HIGH (A),Neonatal,2,3,3,2,2,1,"2.4 ( (per 100,000)
See GLUD1 per RXGenes",Y
PNPO,16,,1,1,1,1,,1,1,1,,1,,,,,,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,3,3,1,unk,Y
SLC5A5,16,,1,1,1,,,1,,1,,1,1,1,1,1,,,1,,,1,1,1,,1,1,AR,HIGH (A),Infant,2,3,3,3,2,,,
TSHB,16,,,1,1,,,1,,1,1,,1,1,1,1,1,,1,,,1,1,1,,1,1,AR,HIGH (A),Infant,2,3,2,3,3,,,
MAT1A,16,Secondary,1,,,,1,,,,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,,,Birth,0,3,0,0,2,,,
ETHE1,16,,,1,1,1,,,1,,1,,,1,1,1,1,1,1,1,,1,1,,,1,1,AR,HIGH (A),Infant,3,3,1,3,1,0,unk,Y
DUOXA2,16,,1,1,,,1,1,,1,1,1,,,,1,1,,1,,1,1,1,1,,1,1,,,Neonatal,2,3,3,3,2,,,
CYP17A1,16,,1,1,,1,1,,1,1,,,,,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,,1,,Y
GAMT,16,Core,1,1,,1,,1,1,1,,1,,,,1,,,1,1,,1,1,1,1,1,1,,,Infant,1,3,2,3,1,1,.4,Y
HSD3B7,16,,,1,1,,1,1,,1,1,,,,,1,1,,1,,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,3,2,1,,Y
GLUD1,16,,1,1,1,1,,1,1,1,,,,,,1,,,1,1,,1,1,1,1,1,1,AD,HIGH (A),Variable,1,3,2,3,2,1,2.4,Y
ARSA,16,,1,1,1,,,,1,1,,,,1,1,1,,1,1,,,1,1,1,1,1,1,AR,HIGH (A),Variable,2,3,1,1,2,1,1.565,Y
CD3D,16,Core,1,1,,1,,,1,1,,1,1,,1,1,,,1,1,,1,1,1,,1,1,,,Infant,3,3,3,2,1,1,1.72,Y
AQP2,15,,1,1,,1,,,1,1,,1,,,,,,1,1,1,,1,1,1,1,1,1,,,Birth,2,2,2,3,2,1,"0.87 (per 100,000)
See INS per RXGenes",Y
TCN2,15,,1,1,,1,,1,1,1,,1,1,,,,,,1,1,,1,1,1,1,1,,,,Infant,1,2,3,3,2,1,<1,Y
KCNQ1,15,,1,1,1,1,,1,1,1,,1,,,1,1,,1,1,1,,1,,,,1,,AR,HIGH (A),Infant,3,3,2,2,3,,,
PKLR,15,,1,1,1,1,,,1,1,,,,,1,1,,1,1,1,,1,1,,1,1,,AR,HIGH (A),,,,,,,1,.8,Y
HAX1,15,,1,1,,1,,,1,,,,,,1,1,,1,1,1,,1,1,1,1,1,1,,,Birth,3,3,2,2,2,1,unk,Y
UGT1A1,15,,1,1,1,,,,,1,1,,,1,1,1,1,,1,,,1,1,1,,1,1,AR,HIGH (A),Birth,2,2,2,3,2,,,
COL4A4,15,,1,1,1,,1,1,,,,,,1,1,1,,1,1,,1,1,1,,,1,1,AR,HIGH (A),Childhood,2,3,2,3,3,1,11,Y
SCNN1B,15,,1,1,1,1,,1,1,1,,,,,1,,,1,1,1,,1,1,1,,1,,AR,HIGH (A),Neonatal,3,3,3,3,2,0,3.595,Y
CYP27A1,15,,,1,1,,1,1,1,1,,,,,1,,,,1,,1,1,1,1,1,1,1,AR,HIGH (A),Adolescent/Adult,2,3,3,3,2,1,.48,Y
COL4A3,15,,1,1,1,,1,1,,,,,,1,1,1,,1,1,,1,1,1,,,1,1,AD,HIGH (A),Childhood,2,3,2,3,3,1,11,Y
ADAMTS13,15,,1,1,1,1,,,1,1,,,,,1,1,,1,1,1,,1,1,,1,1,,AR,HIGH (A),,,,,,,1,,Y
DOCK8,15,,1,1,1,1,,,1,1,,,1,,,1,,,1,1,,1,1,1,1,1,,AR,HIGH (A),Infant,1,3,3,2,2,1,1.72,Y
PROP1,15,,,1,1,1,1,,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,3,3,3,1,2.31,Y
COL4A5,15,,1,1,1,,1,1,,,,,,1,,1,,1,1,1,1,1,1,,,1,1,XLD,HIGH (A),Neonatal,2,3,2,3,3,1,11,Y
FBP1,15,,1,1,,1,,1,1,1,,,,,,1,,,1,1,,1,1,1,1,1,1,,,Neonatal,2,3,3,3,2,1,.195,Y
NPC2,15,,,1,1,1,1,,1,,1,,,,1,1,1,1,1,1,1,,,1,1,,,AR,HIGH (A),Infant,2,3,1,3,2,1,.03,Y
NCF2,15,,1,1,1,1,,,1,1,,,,,1,,,1,1,1,,1,1,1,1,1,,AR,HIGH (A),,,,,,,1,.675,Y
MCEE,14,,1,1,,,,,,1,,1,,,1,1,,1,1,,,1,1,1,1,1,1,,,Infant,2,2,2,2,1,,,
CYP21A2,14,Core,1,,1,1,,,1,1,,,1,1,1,1,,1,1,1,,,,1,1,,,AR,HIGH (A),Neonatal,2,3,3,3,3,,,
UNC13D,14,,1,1,1,1,1,,1,1,,,,,1,1,,1,1,1,1,,,,1,,,AR,HIGH (A),Infant,2,3,2,2,3,1,2,Y
FOXP3,14,,1,1,1,1,,,1,1,1,,,,,,1,,1,1,,1,1,,1,1,,XLR,HIGH (A),,,,,,,1,unk,Y
SCNN1A,14,,1,1,1,1,,1,1,1,,,,,1,,,,1,1,,1,1,1,,1,,AR,HIGH (A),Neonatal,3,3,3,3,3,0,3.595,Y
VDR,14,,,1,1,,,,,1,1,,,,1,,1,1,1,1,,1,1,1,1,1,,AR,HIGH (A),,,,,,,1,,Y
HBA1,14,Secondary,1,,1,1,1,,1,,,,1,1,1,1,,1,,1,1,1,,,,,1,AR,HIGH (A),Variable,1,2,3,3,3,1,5.05,Y
GBA1,14,,1,1,1,,,,1,,1,,,1,1,1,1,1,1,1,,,,1,1,,,AR,HIGH (A),Childhood,1,3,3,3,3,1,1.94,Y
CD40LG,14,,,1,1,,1,,,1,,,1,,1,1,,,1,1,1,1,1,,1,1,,XLR,HIGH (A),Infant,2,3,2,2,2,1,.1,Y
CYP11B2,14,,1,1,,1,,,1,1,,,,,,,,1,1,1,,1,1,1,1,1,1,,,Infant,2,3,3,3,2,1,,Y
HSD3B2,14,,1,1,,1,,1,1,1,,,,,,,,,1,1,,1,1,1,1,1,1,,,Neonatal,3,2,3,3,3,1,,Y
DLD,14,,1,,1,1,,,1,,1,,,,1,1,1,,,1,,1,1,,1,1,1,AR,HIGH (A),Neonatal,3,3,0,0,1,1,unk (2.8 in AJ),Y
WT1,14,,,1,1,,,,,1,1,,,1,,,1,1,1,1,,1,1,,1,1,1,AD,HIGH (A),Neonatal,2,2,3,3,2,1,,N
DMD,14,,,,1,1,1,,1,,,,,1,,1,,1,1,1,1,1,,1,1,1,,XLR,HIGH (A),Variable,2,3,2,3,1,1,,Y
AUH,14,Secondary,,,1,,1,,,,1,1,1,1,1,1,1,1,,1,1,,,1,1,,,AR,HIGH (A),,,,,,,,,
ABCD4,14,Secondary,1,1,,1,,,1,,1,1,1,1,,1,1,,1,1,,,,1,1,,,,,Neonatal,1,3,3,3,1,,,
CYP27B1,14,,,1,1,,,,,1,1,,,,1,,1,1,1,1,,1,1,1,1,1,,AR,HIGH (A),Infant,1,3,3,3,3,1,.3,Y
TSC2,14,,,,1,1,1,,1,,,,,1,1,1,,1,,1,1,1,1,1,,1,,AD,HIGH (A),Birth,2,3,1,3,3,1,10.205,N
TSC1,14,,,,1,1,1,,1,,,,,1,1,1,,1,,1,1,1,1,1,,1,,AD,HIGH (A),Infant,2,3,1,3,3,1,10.205,N
PHKB,14,,1,1,1,,1,1,,,,,,,1,1,,,1,1,1,1,,,1,1,1,AR,HIGH (A),Infant,1,3,3,3,3,1,.1,Y
